380 0.022000
385 0.026400
390 0.030100
395 0.033400
400 0.037400
405 0.041000
410 0.045400
415 0.049400
420 0.055900
425 0.061600
430 0.068400
435 0.078800
440 0.090000
445 0.107900
450 0.131900
455 0.162800
460 0.203000
465 0.254600
470 0.310600
475 0.372700
480 0.431500
485 0.481300
490 0.520600
495 0.549500
500 0.568200
505 0.579400
510 0.586100
515 0.589400
520 0.589400
525 0.586100
530 0.581500
535 0.572600
540 0.557200
545 0.539900
550 0.518900
555 0.491800
560 0.460900
565 0.423000
570 0.381600
575 0.333400
580 0.283000
585 0.228200
590 0.173900
595 0.122100
600 0.082900
605 0.056000
610 0.042800
615 0.035500
620 0.031100
625 0.030700
630 0.029200
635 0.029900
640 0.029800
645 0.029000
650 0.031600
655 0.035900
660 0.043000
665 0.056600
670 0.072000
675 0.090300
680 0.110300
685 0.130000
690 0.149000
695 0.168600
700 0.181200
705 0.188400
710 0.188700
715 0.183700
720 0.175000
725 0.171800
730 0.177100
735 0.194700
740 0.218700
745 0.248800
750 0.280700
755 0.310600
760 0.336100
765 0.356400
770 0.370600
775 0.380800
780 0.389900
